Subject,Filename,OnsetFrame,ApexFrame,5label,OffsetFrame
9,EP05_03,91,116,4,156
9,EP05_05,46,84,0,96
9,EP06_01f,66,144,2,186
9,EP06_02f,36,101,0,131
9,EP09_04,26,71,2,146
9,EP09_05,26,81,2,111
9,EP09f,26,64,0,86
9,EP13_01,31,74,2,121
9,EP15_05,56,91,0,111
9,EP17_08,6,41,2,76
9,EP18_03,11,39,4,81
10,EP06_01f,11,54,4,101
10,EP08_01f,76,114,4,141
10,EP10_01f,111,136,4,171
10,EP11_01,31,64,4,101
10,EP11_01f,36,64,4,91
10,EP12_02f,26,54,4,86
10,EP12_03f,26,81,4,111
10,EP12_04,61,101,4,146
10,EP13_02f,41,109,4,131
10,EP13_03f,11,46,4,76
10,EP16_02f,21,64,4,110
10,EP18_01f,11,44,4,73
10,EP19_04f,81,84,4,126
11,EP02_06f,71,96,4,116
11,EP08_01f,96,121,1,146
11,EP12_03f,91,141,4,185
11,EP13_02f,51,111,1,141
11,EP13_03f,6,49,1,81
11,EP13_05f,16,61,1,111
11,EP15_01f,56,89,4,111
11,EP15_04f,61,76,4,96
11,EP18_03f,56,106,4,131
11,EP19_03f,11,94,4,151
12,EP01_02,31,99,1,106
12,EP02_05,41,61,3,140
12,EP03_02,26,59,4,91
12,EP03_04,60,129,0,156
12,EP04_16,36,56,1,135
12,EP06_06,36,76,3,111
12,EP08_01,46,81,3,106
12,EP08_03,76,114,3,156
12,EP08_07,111,134,0,186
12,EP09_02,16,59,1,101
12,EP09_06,66,111,1,111
12,EP16_02,136,189,1,226
13,EP01_01,76,111,4,131
13,EP01_02,76,101,4,116
13,EP02_02,11,34,4,68
13,EP02_03,26,59,4,66
13,EP03_01,31,86,0,111
13,EP08_01,54,81,4,106
13,EP09_10,51,76,0,126
13,EP12_01,6,41,4,61
14,EP04_04f,11,44,4,86
14,EP09_03,6,29,0,41
14,EP09_04,21,71,0,106
14,EP09_06,11,59,0,91
15,EP03_02,16,49,0,76
15,EP04_02,21,46,3,111
15,EP08_02,21,54,1,78
16,EP01_05,66,106,0,156
16,EP01_08,73,94,2,96
16,EP01_09f,51,76,4,163
16,EP04_02f,181,269,0,271
17,EP01_06,81,86,0,121
17,EP01_13,76,134,3,166
17,EP01_15,86,101,0,126
17,EP02_01,91,119,1,136
17,EP02_03,81,109,1,131
17,EP02_11,161,181,1,210
17,EP02_18f,91,134,2,181
17,EP03_02,118,139,1,161
17,EP03_09,96,132,0,161
17,EP05_02,25,91,0,121
17,EP05_03,21,56,0,101
17,EP05_03f,11,59,2,76
17,EP05_04,6,39,2,71
17,EP05_09,121,144,2,196
17,EP05_10,111,129,2,151
17,EP06_04,71,91,1,161
17,EP06_07,216,225,0,246
17,EP06_08,156,194,2,231
17,EP07_01,21,71,1,115
17,EP08_02,21,66,1,88
17,EP08_03,51,69,4,84
17,EP10_06,104,121,2,161
17,EP11_01,9,31,1,53
17,EP11_02,36,81,1,121
17,EP12_03,131,156,2,184
17,EP13_01,146,164,4,191
17,EP13_03,51,79,1,136
17,EP13_04,86,104,1,121
17,EP13_06,86,109,1,131
17,EP13_09,6,46,0,101
17,EP15_04,109,131,2,185
17,EP15_05,21,49,4,66
17,EP16_01f,8,29,1,71
17,EP18_07,36,69,1,103
18,EP08_01,111,139,4,147
18,EP18_01,66,91,4,126
18,EP19_01,95,121,4,140
19,EP01_01f,121,189,0,220
19,EP01_02f,36,61,0,127
19,EP02_01,91,119,3,151
19,EP06_01f,146,174,3,201
19,EP06_02f,211,264,4,291
19,EP08_02,76,119,0,155
19,EP11_01f,61,81,4,116
19,EP11_04f,76,96,3,131
19,EP13_01,71,104,1,156
19,EP15_03f,51,81,4,101
19,EP16_01,86,109,1,136
19,EP16_02,61,79,1,101
19,EP19_01,66,86,4,101
19,EP19_02,106,129,3,151
19,EP19_03,61,91,3,116
20,EP01_03,76,101,1,126
20,EP03_02,45,74,4,111
20,EP06_03,31,49,1,61
20,EP07_04,96,116,4,151
20,EP10_02,131,166,4,216
20,EP12_01,41,104,4,106
20,EP13_02,71,109,4,121
20,EP15_03f,86,129,4,181
20,EP16_01,71,111,4,111
20,EP16_04,81,106,4,121
20,EP18_03,48,90,4,126
21,EP01_07,6,21,4,36
21,EP05_02,111,141,2,206
22,EP01_12,50,119,2,146
22,EP13_08,151,216,2,256
23,EP02_01,36,86,0,130
23,EP03_14f,51,91,1,111
23,EP04_03f,16,91,2,115
23,EP05_24f,106,141,2,171
23,EP05_25f,51,86,1,131
23,EP07_01,36,64,4,96
23,EP12_02f,46,84,1,130
23,EP12_03,86,129,1,161
23,EP13_03,36,56,4,91
23,EP13_04,21,41,2,86
23,EP13_07f,56,64,4,126
23,EP17_01,81,114,4,146
24,EP01_08,33,69,1,131
24,EP02_02f,71,94,1,106
24,EP08_02,121,156,4,181
24,EP10_01f,131,149,4,154
24,EP10_02,101,121,4,136
24,EP12_01,81,99,4,121
24,EP18_03,53,76,3,88
25,EP03_01,56,81,4,116
25,EP03_02,51,101,4,134
25,EP09_02,76,101,1,111
25,EP10_01,101,129,1,176
25,EP10_10,61,91,3,158
25,EP12_01,131,151,3,186
25,EP18_04f,76,116,1,116
26,EP03_10,116,149,0,201
26,EP07_28,31,51,4,71
26,EP07_37,92,119,4,190
26,EP08_04,31,79,4,89
26,EP09_04,31,56,1,91
26,EP09_09,46,76,1,101
26,EP13_01,4,29,4,61
26,EP13_02,32,54,0,116
26,EP13_11,20,59,1,101
26,EP16_01,26,54,1,76
26,EP18_44,11,36,1,71
26,EP18_46,31,46,4,101
26,EP18_47,6,49,1,86
26,EP18_49,16,54,1,80
26,EP18_50,78,99,1,161
26,EP18_51,21,64,1,81
